Pattern,Engine,Input_Size,Time_ns,Matches
Simple/alphanumeric,CTRE,8192,12800.82,10000
Simple/alphanumeric,RE2,8192,11629.05,10000
Simple/alphanumeric,PCRE2,8192,4427.97,10000
Simple/alphanumeric,Hyperscan,8192,4420.88,10000
Simple/alphanumeric,std::regex,8192,229404.78,2000
Simple/alphanumeric,CTRE,16384,25828.41,10000
Simple/alphanumeric,RE2,16384,23290.77,10000
Simple/alphanumeric,PCRE2,16384,8835.43,10000
Simple/alphanumeric,Hyperscan,16384,8807.14,10000
Simple/alphanumeric,CTRE,32768,51688.36,10000
Simple/alphanumeric,RE2,32768,46386.14,10000
Simple/alphanumeric,PCRE2,32768,17656.55,10000
Simple/alphanumeric,Hyperscan,32768,17555.62,10000
Complex/decimal,CTRE,16,8.22,10000
Complex/decimal,RE2,16,73.61,10000
Complex/decimal,PCRE2,16,23.34,10000
Complex/decimal,Hyperscan,16,53.24,10000
Complex/decimal,std::regex,16,282.17,2000
Complex/decimal,CTRE,32,17.23,10000
Complex/decimal,RE2,32,93.85,10000
Complex/decimal,PCRE2,32,29.9,10000
Complex/decimal,Hyperscan,32,82.6,10000
Complex/decimal,std::regex,32,598.08,2000
Complex/decimal,CTRE,64,37.1,10000
Complex/decimal,RE2,64,140.37,10000
Complex/decimal,PCRE2,64,41.74,10000
Complex/decimal,Hyperscan,64,73.83,10000
Complex/decimal,std::regex,64,1292.69,2000
Complex/decimal,CTRE,128,72.74,10000
Complex/decimal,RE2,128,228.41,10000
Complex/decimal,PCRE2,128,68.88,10000
Complex/decimal,Hyperscan,128,106.27,10000
Complex/decimal,std::regex,128,2645.19,2000
Complex/decimal,CTRE,256,146.85,10000
Complex/decimal,RE2,256,414.26,10000
Complex/decimal,PCRE2,256,121.65,10000
Complex/decimal,Hyperscan,256,175.98,10000
Complex/decimal,std::regex,256,5483.97,2000
Complex/decimal,CTRE,512,293.67,10000
Complex/decimal,RE2,512,765.49,10000
Complex/decimal,PCRE2,512,230.58,10000
Complex/decimal,Hyperscan,512,313.03,10000
Complex/decimal,std::regex,512,11126.31,2000
Complex/decimal,CTRE,1024,585.22,10000
Complex/decimal,RE2,1024,1505.24,10000
Complex/decimal,PCRE2,1024,453.72,10000
Complex/decimal,Hyperscan,1024,590.57,10000
Complex/decimal,std::regex,1024,22794.96,2000
Complex/decimal,CTRE,2048,1176.62,10000
Complex/decimal,RE2,2048,2933.14,10000
Complex/decimal,PCRE2,2048,913.63,10000
Complex/decimal,Hyperscan,2048,1145.37,10000
Complex/decimal,std::regex,2048,47649.66,2000
Complex/decimal,CTRE,4096,2353.62,10000
Complex/decimal,RE2,4096,5854.42,10000
Complex/decimal,PCRE2,4096,1773.56,10000
Complex/decimal,Hyperscan,4096,2242.29,10000
Complex/decimal,std::regex,4096,95320.31,2000
Complex/decimal,CTRE,8192,4720.89,10000
Complex/decimal,RE2,8192,11632.56,10000
Complex/decimal,PCRE2,8192,3501.41,10000
Complex/decimal,Hyperscan,8192,4434.9,10000
Complex/decimal,std::regex,8192,231398.97,2000
Complex/decimal,CTRE,16384,9432.65,10000
Complex/decimal,RE2,16384,23293.27,10000
Complex/decimal,PCRE2,16384,6986.47,10000
Complex/decimal,Hyperscan,16384,8826.77,10000
Complex/decimal,CTRE,32768,18925.52,10000
Complex/decimal,RE2,32768,46537.37,10000
Complex/decimal,PCRE2,32768,14170.2,10000
Complex/decimal,Hyperscan,32768,17657.4,10000
Complex/hex,CTRE,16,26.83,10000
Complex/hex,RE2,16,74.86,10000
Complex/hex,PCRE2,16,25.94,10000
Complex/hex,Hyperscan,16,52.58,10000
Complex/hex,std::regex,16,317.12,2000
Complex/hex,CTRE,32,64.19,10000
Complex/hex,RE2,32,94.3,10000
Complex/hex,PCRE2,32,35.29,10000
Complex/hex,Hyperscan,32,83.94,10000
Complex/hex,std::regex,32,672.1,2000
Complex/hex,CTRE,64,198.29,10000
Complex/hex,RE2,64,139.31,10000
Complex/hex,PCRE2,64,52.63,10000
Complex/hex,Hyperscan,64,73.87,10000
Complex/hex,std::regex,64,971.31,2000
Complex/hex,CTRE,128,431.09,10000
Complex/hex,RE2,128,229.24,10000
Complex/hex,PCRE2,128,86.55,10000
Complex/hex,Hyperscan,128,106.19,10000
Complex/hex,std::regex,128,2592.91,2000
Complex/hex,CTRE,256,885.82,10000
Complex/hex,RE2,256,413.3,10000
Complex/hex,PCRE2,256,154.22,10000
Complex/hex,Hyperscan,256,175.82,10000
Complex/hex,std::regex,256,4647.35,2000
Complex/hex,CTRE,512,1789.55,10000
Complex/hex,RE2,512,780.25,10000
Complex/hex,PCRE2,512,297.51,10000
Complex/hex,Hyperscan,512,320.49,10000
Complex/hex,std::regex,512,9123.36,2000
Complex/hex,CTRE,1024,3596.07,10000
Complex/hex,RE2,1024,1495.17,10000
Complex/hex,PCRE2,1024,576.99,10000
Complex/hex,Hyperscan,1024,586.8,10000
Complex/hex,std::regex,1024,18961.57,2000
Complex/hex,CTRE,2048,7125.66,10000
Complex/hex,RE2,2048,2933.32,10000
Complex/hex,PCRE2,2048,1125.58,10000
Complex/hex,Hyperscan,2048,1135.49,10000
Complex/hex,std::regex,2048,40444.41,2000
Complex/hex,CTRE,4096,14200.24,10000
Complex/hex,RE2,4096,5784.38,10000
Complex/hex,PCRE2,4096,2226.65,10000
Complex/hex,Hyperscan,4096,2230.36,10000
Complex/hex,std::regex,4096,88603.4,2000
Complex/hex,CTRE,8192,28528.99,10000
Complex/hex,RE2,8192,11559.62,10000
Complex/hex,PCRE2,8192,4428.65,10000
Complex/hex,Hyperscan,8192,4423.07,10000
Complex/hex,std::regex,8192,228842.48,2000
Complex/hex,CTRE,16384,56529.42,10000
Complex/hex,RE2,16384,23238.97,10000
Complex/hex,PCRE2,16384,8838.34,10000
Complex/hex,Hyperscan,16384,8806.37,10000
Complex/hex,CTRE,32768,112987.61,10000
Complex/hex,RE2,32768,46365.39,10000
Complex/hex,PCRE2,32768,17636.78,10000
Complex/hex,Hyperscan,32768,17569.15,10000
Complex/identifier,CTRE,16,22.11,10000
Complex/identifier,RE2,16,74.77,10000
Complex/identifier,PCRE2,16,26.33,10000
Complex/identifier,Hyperscan,16,53.74,10000
Complex/identifier,std::regex,16,333.26,2000
Complex/identifier,CTRE,32,51.77,10000
Complex/identifier,RE2,32,102.94,10000
Complex/identifier,PCRE2,32,35.01,10000
Complex/identifier,Hyperscan,32,84.32,10000
Complex/identifier,std::regex,32,657.7,2000
Complex/identifier,CTRE,64,174.13,10000
Complex/identifier,RE2,64,137.91,10000
Complex/identifier,PCRE2,64,53.17,10000
Complex/identifier,Hyperscan,64,74.24,10000
Complex/identifier,std::regex,64,1045.6,2000
Complex/identifier,CTRE,128,430.64,10000
Complex/identifier,RE2,128,229.57,10000
Complex/identifier,PCRE2,128,87.53,10000
Complex/identifier,Hyperscan,128,106.62,10000
Complex/identifier,std::regex,128,2541.94,2000
Complex/identifier,CTRE,256,876.49,10000
Complex/identifier,RE2,256,419.79,10000
Complex/identifier,PCRE2,256,156.49,10000
Complex/identifier,Hyperscan,256,175.25,10000
Complex/identifier,std::regex,256,4497.64,2000
Complex/identifier,CTRE,512,1672.45,10000
Complex/identifier,RE2,512,771.3,10000
Complex/identifier,PCRE2,512,299.63,10000
Complex/identifier,Hyperscan,512,314.57,10000
Complex/identifier,std::regex,512,8073.38,2000
Complex/identifier,CTRE,1024,3678.81,10000
Complex/identifier,RE2,1024,1480.08,10000
Complex/identifier,PCRE2,1024,576.3,10000
Complex/identifier,Hyperscan,1024,585.61,10000
Complex/identifier,std::regex,1024,18523.31,2000
Complex/identifier,CTRE,2048,7242.76,10000
Complex/identifier,RE2,2048,2931.1,10000
Complex/identifier,PCRE2,2048,1124.0,10000
Complex/identifier,Hyperscan,2048,1135.52,10000
Complex/identifier,std::regex,2048,32787.0,2000
Complex/identifier,CTRE,4096,14386.8,10000
Complex/identifier,RE2,4096,5921.17,10000
Complex/identifier,PCRE2,4096,2225.65,10000
Complex/identifier,Hyperscan,4096,2233.03,10000
Complex/identifier,std::regex,4096,94962.95,2000
Complex/identifier,CTRE,8192,28830.51,10000
Complex/identifier,RE2,8192,11592.82,10000
Complex/identifier,PCRE2,8192,4432.28,10000
Complex/identifier,Hyperscan,8192,4416.36,10000
Complex/identifier,std::regex,8192,232761.85,2000
Complex/identifier,CTRE,16384,57221.8,10000
