Running category: NonMatch
Pattern,Engine,Input_Size,Time_ns,Matches
NonMatch/url_on_digits,RE2,256,43.70,0
NonMatch/url_on_digits,PCRE2,256,16.77,0
NonMatch/url_on_digits,Hyperscan,256,25.22,0
NonMatch/url_on_digits,std::regex,256,54.67,0
NonMatch/url_on_digits,CTRE-SIMD,512,0.89,0
NonMatch/url_on_digits,RE2,512,44.20,0
NonMatch/url_on_digits,PCRE2,512,16.32,0
NonMatch/url_on_digits,Hyperscan,512,25.90,0
NonMatch/url_on_digits,std::regex,512,59.98,0
NonMatch/url_on_digits,CTRE-SIMD,1024,0.92,0
NonMatch/url_on_digits,RE2,1024,44.60,0
NonMatch/url_on_digits,PCRE2,1024,16.25,0
NonMatch/url_on_digits,Hyperscan,1024,26.61,0
NonMatch/url_on_digits,std::regex,1024,54.71,0
NonMatch/url_on_digits,CTRE-SIMD,2048,0.96,0
NonMatch/url_on_digits,RE2,2048,45.08,0
NonMatch/url_on_digits,PCRE2,2048,16.39,0
NonMatch/url_on_digits,Hyperscan,2048,26.54,0
NonMatch/url_on_digits,std::regex,2048,54.68,0
NonMatch/url_on_digits,CTRE-SIMD,4096,1.01,0
NonMatch/url_on_digits,RE2,4096,44.82,0
NonMatch/url_on_digits,PCRE2,4096,16.26,0
NonMatch/url_on_digits,Hyperscan,4096,26.72,0
NonMatch/url_on_digits,std::regex,4096,54.66,0
NonMatch/url_on_digits,CTRE-SIMD,8192,1.11,0
NonMatch/url_on_digits,RE2,8192,45.01,0
NonMatch/url_on_digits,PCRE2,8192,16.24,0
NonMatch/url_on_digits,Hyperscan,8192,26.09,0
NonMatch/url_on_digits,std::regex,8192,54.64,0
NonMatch/url_on_digits,CTRE-SIMD,16384,1.01,0
NonMatch/url_on_digits,RE2,16384,46.74,0
NonMatch/url_on_digits,PCRE2,16384,16.22,0
NonMatch/url_on_digits,Hyperscan,16384,26.03,0
NonMatch/url_on_digits,CTRE-SIMD,32768,1.10,0
NonMatch/url_on_digits,RE2,32768,44.43,0
NonMatch/url_on_digits,PCRE2,32768,16.37,0
NonMatch/url_on_digits,Hyperscan,32768,26.65,0
NonMatch/dom_suffix,CTRE-SIMD,16,19.01,0
NonMatch/dom_suffix,RE2,16,69.87,0
NonMatch/dom_suffix,PCRE2,16,16.90,0
NonMatch/dom_suffix,Hyperscan,16,28.46,0
NonMatch/dom_suffix,std::regex,16,394.69,0
NonMatch/dom_suffix,CTRE-SIMD,32,3.97,0
NonMatch/dom_suffix,RE2,32,92.08,0
NonMatch/dom_suffix,PCRE2,32,17.87,0
NonMatch/dom_suffix,Hyperscan,32,56.01,0
NonMatch/dom_suffix,std::regex,32,614.73,0
NonMatch/dom_suffix,CTRE-SIMD,64,3.45,0
NonMatch/dom_suffix,RE2,64,138.45,0
NonMatch/dom_suffix,PCRE2,64,17.49,0
NonMatch/dom_suffix,Hyperscan,64,115.44,0
NonMatch/dom_suffix,std::regex,64,1422.66,0
NonMatch/dom_suffix,CTRE-SIMD,128,4.40,0
NonMatch/dom_suffix,RE2,128,224.82,0
NonMatch/dom_suffix,PCRE2,128,18.67,0
NonMatch/dom_suffix,Hyperscan,128,81.26,0
NonMatch/dom_suffix,std::regex,128,3329.96,0
NonMatch/dom_suffix,CTRE-SIMD,256,6.80,0
NonMatch/dom_suffix,RE2,256,403.15,0
NonMatch/dom_suffix,PCRE2,256,22.72,0
NonMatch/dom_suffix,Hyperscan,256,84.14,0
NonMatch/dom_suffix,std::regex,256,7081.44,0
NonMatch/dom_suffix,CTRE-SIMD,512,11.85,0
